CompanyId,NameEN,NameHE,SubId,SeedReportId
2358,MORE PENSION,מור גמל פנסיה,1184381,1603400
1756,MRR,אמ אר אר,1184696,1721800
1738,MULTI RETAIL,מולטי ריטייל,1171669,1474000
2449,MY TOWN,מיי טאון,1214626,1631600
544,MYDAS INVEST,מידאס השקעות,544015,1641250
1665,NAMCO REALTY,נמקו ריאלטי,1206473,1468000
643,NAPHTHA,נפטא,643015,1513200
1688,NAVITAS PETRO,נאוויטס פטרו,1141969,1714200
208,NAWI,נאוי,208017,1418500
1894,NAYAX,נאייקס,1175116,1396000
421,NETANEL GROUP,נתנאל גרופ,421016,1723750
2412,NETANEL MENIVI,נתנאל מניבים,1194513,1591200
168,NETO,נטו אחזקות,168013,1339200
1463,NETO MALINDA,נטו מלינדה,1105097,1676600
2475,NETZ USA,נץ יו.אס.איי,1222116,
923,NEW GILON,ממשל משתנה,,
475,NEWMED ENERG PU,ניו-מד אנרג יהש,475020,1391400
1916,NEXT VISION,נקסט ויז'ן,1176593,1702000
433,NEXTAGE,נקסטייג',433011,1677800
1298,NEXTCOM,נקסטקום,1095785,1675750
1841,NEXTFERM-M,נקסטפרם-ש,1171933,1658200
1092,NEXTGEN-M,נקסט ג'ן-ש,1083930,1520500
273,NICE,נייס,273011,1535500
660,NISSAN,ניסן,660019,1634200
1831,NOFAR ENERGY,נופר אנרג'י,1170877,1708000
723,NORSTAR HOLDING,נורסטאר החזקות,723007,1445500
2177,NOVA,נובה,1084557,1468600
1677,NOVOLOG,נובולוג,1140151,
1839,NRGENE TECH,אנרג'ין טכנו,1172071,1405000
1893,NUR INK,נור אינק,1175728,1485250
1135,O.R.T,או.אר.טי.,1086230,1515400
2488,OFEK GROUP,אופק קבוצה,1223908,
2522,OMER CONS,עומר הנדסה,1233493,1725800
161,ONE TECHNOLOGI,וואן טכנולוגיות,161018,1534000
1287,OPAL BALANCE,אופל בלאנס,1094986,1531800
1682,OPC ENERGY,או.פי.סי אנרגיה,1141571,1615000
1610,OPKO,אופקו,1129543,1614800
1696,OR SHAY,אורשי,1209014,1605400
1451,ORAD,אורד,1104496,
1691,ORAMED,אורמד,1141324,1441000
1425,ORIAN,אוריין,1103506,1413800
2518,ORION,אוריון,1232750,
2250,ORMAT TECHNO.,אורמת טכנו,1134402,1603750
1644,ORON GROUP,אורון קבוצה,1135706,1299100
1671,OVERSEAS,אוברסיז,1139617,1432750
1221,P.C.B.,פיסיבי טכנ,1091685,1649500
1662,PACIFIC OAK,פסיפיק אוק,1206044,1723000
2420,PAI DEPOSITS,פאי פיקדון,1201144,1716250
2538,PALO ALTO,פאלו אלטו,1236736,
644,PALRAM,פלרם,644013,1583400
2391,PARKOMAT INT.,פרקומט,1187640,
2095,PARTNER,פרטנר,1083484,1458250
1977,PAYMENT,פיימנט,1180876,1723600
412,PAYTON,פייטון,412015,1249000
1363,PAZ ENERGY,פז אנרגיה,1100007,1669000
2505,PEAKHILL,פיקהיל,1228535,1691500
333,PENINSULA,פנינסולה,333013,1358000
2497,PENTHOUSE,פנטהאוז,1227073,
2240,PERION NETWORK,פריון נטוורק,1095819,1511000
756,PETROCHEMICAL,פטרוכימיים,756015,1707400
1809,PETROLEUM ENRGY,תשתיות אנרגיה,1211515,
1369,PETROTX,פטרוטקס יהש,1099761,1414000
1843,PHINERGY,פינרג'י,1172360,1709600
767,PHOENIX,הפניקס,767012,1612750
1527,PHOENIX CAPITAL,הפניקס גיוסי הו,1155522,1525400
1873,PHOTOMYNE,פוטומיין,1173855,1670200
2500,PI INTEREST,פאי ריביות,1230184,
2454,PI PLUS,פאי פלוס,1214451,1708750
2344,PIE SIAM,פאי סיאם,1186527,1654600
1057,PLASSON INDUS,פלסאון תעשיות,1081603,1689250
727,PLASTO CARGAL,פלסטו קרגל,727016,1699200
1240,PLASTOPIL,פלסטופיל,1092840,1480200
1476,PLAZA CENTERS,פלאזה סנטרס,1109917,1672400
1569,PLURI,פלורי,1121730,1606750
662,POALIM BANK,פועלים,662577,1621750
745,POLYGON,פוליגון,745018,
1822,POLYRAM,פולירם,1170216,1457000
1861,POMVOM,פוםוום,1173434,1507400
1405,POWERGEN SOL A,פאוורג'ן סול אי,1231331,1587250
1330,PRASHKOVSKY,פרשקובסקי,1102128,1438000
2487,PRASHKOVSKY GR,פרשקובסקי גרופ,1224971,1438000
1871,PRIME ENERGY,פריים אנרג'י,1174457,1615600
1872,PRIMOTEC,פרימוטק,1175496,1515000
328,PRIORTECH,פריורטק,328013,1674400
2534,PRODALIM INVEST,פרודלים השקעות,1237031,
2389,PROPDO,פרופדו,1188622,1593400
699,PROPERT.& BUIL.,נכסים ובנין,699017,1646200
2514,PROSPECT,פרוספקט,1230655,
1911,PSYRX BIO-TECH,פסיירקס ביו-טק,1176908,1524250
1895,PULSENMORE,פלסאנמור,1176700,1410250
